img	seed	mean	std	alpha_1	alpha_0	SSIM	PSNR	MS_SSIM	PSNR_HVS	PSNR_HMA	FSIM
1	1.417022	0.44064899	0.83404401	0.417022004702574	0.720324493442158	0.230142020091706	8.180073009555	0.419551968971059	52.1246907251005	67.8345988902089	0.902153959049983
1	1.417022	0.44064899	0.83404401	0.435994902142004	0.0259262318278913	0.0840728528573183	6.25966839856203	0.373915741132925	51.7240070209458	57.7119708606061	0.850335663824265
1	1.417022	0.44064899	0.83404401	0.550797902574576	0.708147822618105	0.22695806232403	8.10982696799076	0.388315928075681	52.0234754127366	67.7064620307057	0.868112968263302
1	1.417022	0.44064899	0.83404401	0.967029839013677	0.547232249175722	0.229004087743821	8.14898920507434	0.408059349661211	52.0795219890984	67.7500796455055	0.8851593062488
1	1.417022	0.44064899	0.83404401	0.221993171089739	0.870732306177376	0.134620745470733	8.19234160679861	0.429819917879689	52.311298407763	63.1210745182199	0.904482312294285
1	1.417022	0.44064899	0.83404401	0.892860151436002	0.331979805301177	0.235448104940722	8.280567343315	0.465910928560626	52.2805840399872	67.3059321243022	0.93839370362775
1	1.417022	0.44064899	0.83404401	0.0763082893739572	0.779918792240115	0.0902302308582027	6.73729051604307	0.385962656077127	51.9180850906505	58.7416491846036	0.858681736909169
1	1.417022	0.44064899	0.83404401	0.873429402791816	0.968540662820932	0.226837947741124	8.0823481490766	0.375749507296741	51.9830502250515	67.6161636743424	0.859257244196679
1	1.417022	0.44064899	0.83404401	0.0103741538857	0.501874592148739	0.0750517313169275	5.56563963325671	0.365015657688461	51.6741881738335	57.4945157648102	0.848861838392107
1	1.417022	0.44064899	0.83404401	0.771320643266746	0.0207519493594015	0.0797509340241041	6.01589174047284	0.369540494065134	51.6868181449946	57.5558840519084	0.848461319379398
2	2.4359949	-0.94814754	0.8719898	0.417022004702574	0.720324493442158	0.173808646894484	10.6869637657673	0.294664132833903	54.1320987514727	72.8768296325046	0.849677159835385
2	2.4359949	-0.94814754	0.8719898	0.435994902142004	0.0259262318278913	0.0810709446882177	9.71347667793575	0.33580242193521	54.4250347151677	62.2279330323963	0.865417128458332
2	2.4359949	-0.94814754	0.8719898	0.550797902574576	0.708147822618105	0.174129445122596	10.6779473892877	0.292744109591595	54.1202193047056	72.8673672343517	0.846487814271385
2	2.4359949	-0.94814754	0.8719898	0.967029839013677	0.547232249175722	0.173973702318377	10.6941876034011	0.297032493428978	54.141016510752	72.8933129798979	0.850790511045899
2	2.4359949	-0.94814754	0.8719898	0.221993171089739	0.870732306177376	0.117266214227018	10.8779276054629	0.338016687057391	54.4916672819054	70.0210352183641	0.934685658586374
2	2.4359949	-0.94814754	0.8719898	0.892860151436002	0.331979805301177	0.174517516996955	10.7803844859096	0.323273647645214	54.2559960055306	72.751128387837	0.882595182026037
2	2.4359949	-0.94814754	0.8719898	0.0763082893739572	0.779918792240115	0.0753976555563948	9.89502818494669	0.334814744819349	54.5446748955177	63.8475994740633	0.87111859917343
2	2.4359949	-0.94814754	0.8719898	0.873429402791816	0.968540662820932	0.174076019398139	10.6747657448453	0.291866593870312	54.1161496655213	72.8624537212486	0.84597904274103
2	2.4359949	-0.94814754	0.8719898	0.0103741538857	0.501874592148739	0.0659946622304887	8.82365672826476	0.322911786956606	54.3488530909662	61.7677630174197	0.859140706199218
2	2.4359949	-0.94814754	0.8719898	0.771320643266746	0.0207519493594015	0.0770984448987475	9.47478337933548	0.331278554730208	54.3843497887368	61.9661518317693	0.862572038576798
3	3.5507979	0.41629565	1.10159581	0.417022004702574	0.720324493442158	0.237673831837067	8.68295199917666	0.423771813699305	52.6326615684097	68.0123013038986	0.906080309837967
3	3.5507979	0.41629565	1.10159581	0.435994902142004	0.0259262318278913	0.0803833937016319	6.29629933300721	0.343444138697793	52.0749409844376	57.6673620602743	0.848753939795662
3	3.5507979	0.41629565	1.10159581	0.550797902574576	0.708147822618105	0.23048149583759	8.58841687950947	0.3914765454945	52.4939988659281	67.9597989088381	0.870855876404705
3	3.5507979	0.41629565	1.10159581	0.967029839013677	0.547232249175722	0.231641498225209	8.61913655231896	0.407887676319295	52.5426448153374	67.9421382937459	0.884301518790963
3	3.5507979	0.41629565	1.10159581	0.221993171089739	0.870732306177376	0.128541707214593	8.61039907803191	0.407538459390872	52.7842872295359	62.9132515390989	0.903015623999047
3	3.5507979	0.41629565	1.10159581	0.892860151436002	0.331979805301177	0.239011898423642	8.74767204969105	0.455308194849874	52.7437526097473	67.1917728958286	0.927347610019675
3	3.5507979	0.41629565	1.10159581	0.0763082893739572	0.779918792240115	0.0857158850039257	6.89182390968762	0.358243905202306	52.3124759407981	58.7132492192337	0.858462425881296
3	3.5507979	0.41629565	1.10159581	0.873429402791816	0.968540662820932	0.22891820006256	8.5544687933235	0.378831728238582	52.4458281180618	67.8766326431729	0.860933450718849
3	3.5507979	0.41629565	1.10159581	0.0103741538857	0.501874592148739	0.0704306422678862	5.60782247453456	0.337501378637986	52.0390462917953	57.51182303727	0.848645821233358
3	3.5507979	0.41629565	1.10159581	0.771320643266746	0.0207519493594015	0.0763693133860819	6.0213018216571	0.339073855675615	52.0292517803993	57.496781208434	0.846729349679592
