img	seed	mean	std	alpha_1	alpha_0	beta	SSIM	PSNR
1	1.417022	0.44064899	0.83404401	2.08511002351287	3.60162246721079	0.000571874086724433	0.0848323687012001	6.2657355420597
1	1.417022	0.44064899	0.83404401	2.17997451071002	0.129631159139457	2.74831238939355	0.0842665406981285	6.15637983594262
1	1.417022	0.44064899	0.83404401	2.75398951287288	3.54073911309052	1.45452369456472	0.0830507719432988	6.2390297797118
1	1.417022	0.44064899	0.83404401	4.83514919506838	2.73616124587861	4.86342179982442	0.0839253737854617	6.22554453771668
1	1.417022	0.44064899	0.83404401	1.1099658554487	4.35366153088688	1.03359577669713	0.0830362623703904	6.23864859704507
1	1.417022	0.44064899	0.83404401	4.46430075718001	1.65989902650589	4.10614561528916	0.0843744440750864	6.16707331938286
1	1.417022	0.44064899	0.83404401	0.381541446869786	3.89959396120057	2.19204615720447	0.0829925406870189	6.23812140779865
1	1.417022	0.44064899	0.83404401	4.36714701395908	4.84270331410466	4.3459727010696	0.0830399100900927	6.23863751439197
1	1.417022	0.44064899	0.83404401	0.0518707694284998	2.50937296074369	2.47886646567073	0.0830120196581179	6.23881149592189
1	1.417022	0.44064899	0.83404401	3.85660321633373	0.103759746797008	3.16824117463138	0.0842650565559852	6.15606521218235
1	1.417022	0.44064899	0.83404401	0.901348444383846	0.0973762074381229	2.31609263249172	0.084264056683315	6.15612434156291
1	1.417022	0.44064899	0.83404401	0.770814211898362	3.70024848257702	1.31657507592567	0.0830145638562334	6.23827106530759
1	1.417022	0.44064899	0.83404401	3.8885120528691	1.18770610017456	4.12139266330684	0.0842633520020701	6.1560853928033
1	1.417022	0.44064899	0.83404401	2.56971671886345	3.86582526039648	4.35213842862406	0.0830150307417075	6.23827615199131
1	1.417022	0.44064899	0.83404401	4.24408848634289	0.894479624604992	0.271816071532157	0.0843260860330109	6.15963096066737
1	1.417022	0.44064899	0.83404401	1.11645539576769	2.61581670700338	2.75350728290591	0.0830041166783147	6.23817137614811
1	1.417022	0.44064899	0.83404401	1.47332501343555	2.65293377802647	0.957603934737474	0.0830463681292347	6.23891434744014
1	1.417022	0.44064899	0.83404401	3.25187120869796	2.52726686867421	4.39300735460776	0.0831560655763508	6.23810717758654
1	1.417022	0.44064899	0.83404401	0.487668008747258	3.80624858337428	1.23468986583164	0.0830033582885227	6.23816709052991
1	1.417022	0.44064899	0.83404401	2.94065400538637	4.48856863954709	4.45765364737354	0.0830196039143819	6.23832844414036
1	1.417022	0.44064899	0.83404401	0.243624404045636	1.44554829894908	3.60483173415615	0.0829931562898809	6.23811976370561
1	1.417022	0.44064899	0.83404401	1.04230268679421	2.40840530881683	2.10269017657187	0.0830091217476011	6.23821346095306
1	1.417022	0.44064899	0.83404401	2.58648941923295	4.73481301907407	3.82729879698453	0.0830210042416671	6.23834725586476
1	1.417022	0.44064899	0.83404401	4.80008651667959	3.49756024974788	4.9993364631194	0.0832520931216423	6.23764769188282
1	1.417022	0.44064899	0.83404401	4.35062068313606	2.9113846433628	1.39419470350535	0.0834555911388332	6.23660989150901
1	1.417022	0.44064899	0.83404401	1.53967476312485	2.5969573965265	3.84148830768987	0.083003781484989	6.23816946446686
1	1.417022	0.44064899	0.83404401	2.12860705259448	4.07291870247276	3.6769864509984	0.0830140054907856	6.23826511041027
1	1.417022	0.44064899	0.83404401	3.6450687114456	2.80619801163821	0.624835460046205	0.0832453438998499	6.23931467339088
1	1.417022	0.44064899	0.83404401	4.31879992785041	1.42452982613813	0.36628194041868	0.084348751265727	6.16058396246055
1	1.417022	0.44064899	0.83404401	3.22071768034168	1.90374244817558	3.31523952667834	0.0837990328373961	6.22882319393159
1	1.417022	0.44064899	0.83404401	1.43026910830258	4.790527832595	3.85156466109439	0.0830016499588553	6.23815763583153
1	1.417022	0.44064899	0.83404401	4.2944463364652	1.8635557748764	2.77564388999298	0.0845347110717872	6.19255713450381
1	1.417022	0.44064899	0.83404401	1.24255063718865	2.24987710525398	2.0547040149827	0.0830156186200673	6.23828296439319
1	1.417022	0.44064899	0.83404401	0.192808404407048	3.90050230262337	0.463518776670667	0.0830044989103191	6.23817417343607
1	1.417022	0.44064899	0.83404401	2.29027474112045	1.54174803482456	1.15743522517781	0.0834290833476998	6.23653312499653
1	1.417022	0.44064899	0.83404401	3.64253595797863	3.00807106185107	4.76090333703007	0.0831040576477912	6.23835193075244
1	1.417022	0.44064899	0.83404401	4.72248301428653	2.32049087152204	0.963975144785788	0.084391745807348	6.21373289512189
1	1.417022	0.44064899	0.83404401	1.92386559758372	4.29853923295309	4.7209981790371	0.0830043012509013	6.23817260389056
1	1.417022	0.44064899	0.83404401	2.73444578072677	3.98949510641303	4.10200939949191	0.0830202352949662	6.2383376031855
1	1.417022	0.44064899	0.83404401	2.03843514040143	0.2768302005593	3.94267438743376	0.0842634134790588	6.15586512381009
1	1.417022	0.44064899	0.83404401	1.2546181187247	0.230479103363059	3.38408120555279	0.0842658264352623	6.15635824105587
1	1.417022	0.44064899	0.83404401	1.87270059423681	4.75357153204958	3.65996970905703	0.0830103712944896	6.23822570061591
1	1.417022	0.44064899	0.83404401	0.575272831948895	3.04533269639741	0.666954820929941	0.0830311006358719	6.23852347642098
1	1.417022	0.44064899	0.83404401	4.17421074332825	0.523980521849349	3.72320240839759	0.0842635411196334	6.15611370737256
1	1.417022	0.44064899	0.83404401	4.945057567378	2.74772363422363	1.40723650977531	0.0839991378383084	6.22582773936772
1	1.417022	0.44064899	0.83404401	3.91916175402875	3.17416853026365	1.24521545757874	0.0831553681723746	6.23904014782638
