img	seed	mean	std	alpha_1	alpha_0	beta	SSIM	PSNR	MS_SSIM	PSNR_HVS	PSNR_HMA	VIF	FSIM
1	1.417022	0.44064899	0.83404401	2.08511002351287	3.60162246721079	0.000571874086724433	0.0848323687012001	6.2657355420597	0.379944844710631	51.85193446354	58.2994100559175	0.210324057658698	0.855185251054733
1	1.417022	0.44064899	0.83404401	2.17997451071002	0.129631159139457	2.74831238939355	0.0842665406981285	6.15637983594262	0.376075673315238	51.789289064302	57.9960722618777	0.220406034401756	0.852768069369174
1	1.417022	0.44064899	0.83404401	2.75398951287288	3.54073911309052	1.45452369456472	0.0830507719432988	6.2390297797118	0.379384681081315	51.867344143391	58.4280748863879	0.204910030836701	0.854735660048302
1	1.417022	0.44064899	0.83404401	4.83514919506838	2.73616124587861	4.86342179982442	0.0839253737854617	6.22554453771668	0.380014249503342	51.8467978208601	58.2880110195294	0.209048928870768	0.855012048781614
1	1.417022	0.44064899	0.83404401	1.1099658554487	4.35366153088688	1.03359577669713	0.0830362623703904	6.23864859704507	0.379349862054397	51.8672897953663	58.4281726130994	0.204917944368245	0.854739888845725
1	1.417022	0.44064899	0.83404401	4.46430075718001	1.65989902650589	4.10614561528916	0.0843744440750864	6.16707331938286	0.376553473143807	51.7942557956897	58.0206917007127	0.219302047728594	0.85298060582488
1	1.417022	0.44064899	0.83404401	0.381541446869786	3.89959396120057	2.19204615720447	0.0829925406870189	6.23812140779865	0.379169130543878	51.8673283949337	58.430911290591	0.204934941647347	0.854715654812415
1	1.417022	0.44064899	0.83404401	4.36714701395908	4.84270331410466	4.3459727010696	0.0830399100900927	6.23863751439197	0.379355599360851	51.8672644144479	58.4278632763982	0.204915367987374	0.85473800352521
1	1.417022	0.44064899	0.83404401	0.0518707694284998	2.50937296074369	2.47886646567073	0.0830120196581179	6.23881149592189	0.379125435214254	51.8674982797033	58.4325630833584	0.204875769369071	0.854710436185668
1	1.417022	0.44064899	0.83404401	3.85660321633373	0.103759746797008	3.16824117463138	0.0842650565559852	6.15606521218235	0.376063261734618	51.7891101448896	57.9951872890784	0.220445345817347	0.852762840489541
2	2.4359949	-0.94814754	0.8719898	2.08511002351287	3.60162246721079	0.000571874086724433	0.0786783963732457	9.8442625807926	0.337365139877707	54.5175922385342	63.0744914955276	0.0881833852040109	0.866720319493107
2	2.4359949	-0.94814754	0.8719898	2.17997451071002	0.129631159139457	2.74831238939355	0.0783383778046245	9.71513363412678	0.33721976738511	54.4816118964969	62.724318058687	0.0975384958915228	0.86698758244408
2	2.4359949	-0.94814754	0.8719898	2.75398951287288	3.54073911309052	1.45452369456472	0.0734742117458035	9.74681661541944	0.33537967315436	54.5409085407086	63.6813215093221	0.0852325085086753	0.869603164648537
2	2.4359949	-0.94814754	0.8719898	4.83514919506838	2.73616124587861	4.86342179982442	0.0758055754823639	9.75796788133418	0.339073395701281	54.5451923105183	63.4078430659469	0.0879585150704879	0.870600893543821
2	2.4359949	-0.94814754	0.8719898	1.1099658554487	4.35366153088688	1.03359577669713	0.0733389303109921	9.74574261794293	0.33512652829368	54.5398811288602	63.6908740980822	0.085169113676116	0.869475033377944
2	2.4359949	-0.94814754	0.8719898	4.46430075718001	1.65989902650589	4.10614561528916	0.0781127814779971	9.72909663936609	0.337869361314158	54.4955020741214	62.8330871469319	0.0956487264439691	0.867933321200111
