img	seed	mean	std	alpha_1	alpha_0	lambda	SSIM	PSNR
1	1.417022	0.44064899	0.83404401	0.00417022004702574	0.00720324493442158	1.14374817344887e-05	0.225741193836083	7.84508951951792
1	1.417022	0.44064899	0.83404401	0.00435994902142004	0.000259262318278913	0.0549662477878709	0.0749788336683279	5.53363367608443
1	1.417022	0.44064899	0.83404401	0.00550797902574576	0.00708147822618105	0.0290904738912944	0.121769115455428	8.02998270314698
1	1.417022	0.44064899	0.83404401	0.00967029839013677	0.00547232249175722	0.0972684359964884	0.0986337247247082	7.06474973923234
1	1.417022	0.44064899	0.83404401	0.00221993171089739	0.00870732306177376	0.0206719155339426	0.0971035540304182	7.19330823554565
1	1.417022	0.44064899	0.83404401	0.00892860151436002	0.00331979805301177	0.0821229123057832	0.0987569194712606	6.91584221269135
1	1.417022	0.44064899	0.83404401	0.000763082893739572	0.00779918792240115	0.0438409231440893	0.0759237327927677	5.65375719729557
1	1.417022	0.44064899	0.83404401	0.00873429402791816	0.00968540662820932	0.086919454021392	0.0952795660773815	7.08328868992677
1	1.417022	0.44064899	0.83404401	0.000103741538857	0.00501874592148739	0.0495773293134146	0.0724191966149658	5.35265274239661
1	1.417022	0.44064899	0.83404401	0.00771320643266746	0.000207519493594015	0.0633648234926275	0.07409373334279	5.46990451836424
2	2.4359949	-0.94814754	0.8719898	0.00417022004702574	0.00720324493442158	1.14374817344887e-05	0.163067424933162	10.3654761996117
2	2.4359949	-0.94814754	0.8719898	0.00435994902142004	0.000259262318278913	0.0549662477878709	0.0650356736577252	8.81545303568589
2	2.4359949	-0.94814754	0.8719898	0.00550797902574576	0.00708147822618105	0.0290904738912944	0.0985054413423563	10.8223434330401
2	2.4359949	-0.94814754	0.8719898	0.00967029839013677	0.00547232249175722	0.0972684359964884	0.0836604613512046	10.2008909579819
2	2.4359949	-0.94814754	0.8719898	0.00221993171089739	0.00870732306177376	0.0206719155339426	0.0774965683517346	10.2248110420869
2	2.4359949	-0.94814754	0.8719898	0.00892860151436002	0.00331979805301177	0.0821229123057832	0.0883612124853496	10.2153975684754
2	2.4359949	-0.94814754	0.8719898	0.000763082893739572	0.00779918792240115	0.0438409231440893	0.064613398295673	8.89154528739898
2	2.4359949	-0.94814754	0.8719898	0.00873429402791816	0.00968540662820932	0.086919454021392	0.0781175945146652	10.166753396714
2	2.4359949	-0.94814754	0.8719898	0.000103741538857	0.00501874592148739	0.0495773293134146	0.0620468113800089	8.60190328379884
2	2.4359949	-0.94814754	0.8719898	0.00771320643266746	0.000207519493594015	0.0633648234926275	0.064002978668761	8.73866062865742
3	3.5507979	0.41629565	1.10159581	0.00417022004702574	0.00720324493442158	1.14374817344887e-05	0.229259139602177	8.28287343455604
3	3.5507979	0.41629565	1.10159581	0.00435994902142004	0.000259262318278913	0.0549662477878709	0.0696146847650894	5.57488137545558
3	3.5507979	0.41629565	1.10159581	0.00550797902574576	0.00708147822618105	0.0290904738912944	0.115034789237972	8.3939083244068
3	3.5507979	0.41629565	1.10159581	0.00967029839013677	0.00547232249175722	0.0972684359964884	0.0923015251685593	7.25655595393358
3	3.5507979	0.41629565	1.10159581	0.00221993171089739	0.00870732306177376	0.0206719155339426	0.09128570036957	7.40443543504816
3	3.5507979	0.41629565	1.10159581	0.00892860151436002	0.00331979805301177	0.0821229123057832	0.0922599853751249	7.09479284365491
3	3.5507979	0.41629565	1.10159581	0.000763082893739572	0.00779918792240115	0.0438409231440893	0.0704601714968543	5.70183971365118
3	3.5507979	0.41629565	1.10159581	0.00873429402791816	0.00968540662820932	0.086919454021392	0.0896810992274783	7.29166920417827
