img	seed	std	alpha_1	alpha_0	beta	SSIM	PSNR	MS_SSIM	PSNR_HVS	PSNR_HMA	VIF	FSIM
1	1.417022	0.417022	1.25106601410772	2.16097348032647	0.000571874086724433	0.304143578329416	16.2520417884941	0.75428201057743	61.3736909385349	61.5448198232041	0.367491423258372	0.952673383580608
1	1.417022	0.417022	1.30798470642601	0.077778695483674	2.74831238939355	0.173579964670719	9.10360911595965	0.64765847518262	57.9135458683982	57.9136822757429	1.01371324434792	0.909174977469851
1	1.417022	0.417022	1.65239370772373	2.12444346785431	1.45452369456472	0.175458377162897	9.25748481827962	0.655545824777631	58.2935328335691	58.2936930037555	0.985423742923227	0.912058628992893
1	1.417022	0.417022	2.90108951704103	1.64169674752717	4.86342179982442	0.174690791247632	9.19281514181929	0.652570822382919	58.1304794454917	58.1306212462359	0.993986980099927	0.91140447212478
1	1.417022	0.417022	0.665979513269218	2.61219691853213	1.03359577669713	0.175430074774764	9.25546173474698	0.655504550977435	58.2923753650871	58.292535434051	0.98564967823323	0.912049114999409
1	1.417022	0.417022	2.678580454308	0.995939415903532	4.10614561528916	0.173447538581856	9.09498143559991	0.647840262976524	57.9262696827295	57.9264054403234	1.01350121001644	0.909337854533854
1	1.417022	0.417022	0.228924868121872	2.33975637672034	2.19204615720447	0.175519888147502	9.25984395715973	0.655554630303762	58.2939052273053	58.2940653602491	0.985631941029319	0.912076375083771
1	1.417022	0.417022	2.62028820837545	2.9056219884628	4.3459727010696	0.175429963240743	9.25514809385564	0.655498407163274	58.2916505471836	58.2918105621505	0.985643810528886	0.912036592907805
1	1.417022	0.417022	0.0311224616570999	1.50562377644622	2.47886646567073	0.175555934407444	9.26134253676	0.655621990962788	58.2962661134634	58.2964263085194	0.9851065117649	0.91210394804227
1	1.417022	0.417022	2.31396192980024	0.0622558480782045	3.16824117463138	0.173122284777232	9.07434540227118	0.647275463275894	57.903747429332	57.9038840139885	1.01604527044478	0.909005755341651
2	2.4359949	0.4359949	1.25106601410772	2.16097348032647	0.000571874086724433	0.290376899761581	16.0809718446288	0.747299730534437	61.4028189380894	61.693324305102	0.347454662839284	0.952507811916558
2	2.4359949	0.4359949	1.30798470642601	0.077778695483674	2.74831238939355	0.157251750680108	8.52398501424388	0.638427410265227	57.8174041516139	57.8259535891642	1.01797065618736	0.903436667187023
2	2.4359949	0.4359949	1.65239370772373	2.12444346785431	1.45452369456472	0.159283331619373	8.69961357895718	0.646093447860146	58.1786741937911	58.1894924492781	0.982649177306557	0.906552866668622
2	2.4359949	0.4359949	2.90108951704103	1.64169674752717	4.86342179982442	0.158915042718424	8.64780785040692	0.64380610047609	58.0486051696013	58.0576532736503	0.994257135587325	0.905908243124236
2	2.4359949	0.4359949	0.665979513269218	2.61219691853213	1.03359577669713	0.159260647201131	8.69836594399039	0.646065410041538	58.1776990340247	58.1885125604569	0.98277793479274	0.906537218204013
2	2.4359949	0.4359949	2.678580454308	0.995939415903532	4.10614561528916	0.157737880213266	8.55553547481374	0.639251912090664	57.8478178340306	57.8564382082229	1.01367107452703	0.903806870972642
2	2.4359949	0.4359949	0.228924868121872	2.33975637672034	2.19204615720447	0.159324493819798	8.70274499522333	0.646134360605338	58.1798874369695	58.1907355080607	0.982408648633322	0.906588668876398
2	2.4359949	0.4359949	2.62028820837545	2.9056219884628	4.3459727010696	0.159265099098861	8.69845438258394	0.646063579784205	58.1774865007463	58.1882929556745	0.982791747005111	0.906547135333719
2	2.4359949	0.4359949	0.0311224616570999	1.50562377644622	2.47886646567073	0.159352729418779	8.70433229080919	0.646194267130747	58.1823239587155	58.1931800827587	0.981763961395253	0.906617098478226
2	2.4359949	0.4359949	2.31396192980024	0.0622558480782045	3.16824117463138	0.157441135923783	8.53538432571827	0.638632833771037	57.8226820179239	57.8312398368278	1.0169094970968	0.903499422414477
3	3.5507979	0.5507979	1.25106601410772	2.16097348032647	0.000571874086724433	0.235785151996695	14.4214047023669	0.685148409839138	59.4392292389843	59.5094898513832	0.395964338908669	0.942299750844196
3	3.5507979	0.5507979	1.30798470642601	0.077778695483674	2.74831238939355	0.112019407574483	6.2582807165545	0.559655670907432	55.7099954492676	55.7113950142163	1.07961266335461	0.891460740033655
3	3.5507979	0.5507979	1.65239370772373	2.12444346785431	1.45452369456472	0.113129665416283	6.3999701032381	0.566390654264257	55.9849658524094	55.9863194569562	1.04647629546951	0.893878949734307
3	3.5507979	0.5507979	2.90108951704103	1.64169674752717	4.86342179982442	0.11290248812622	6.36163757523477	0.564420084628772	55.8877585854566	55.889073162396	1.05644543183091	0.893582210944328
3	3.5507979	0.5507979	0.665979513269218	2.61219691853213	1.03359577669713	0.113101383642851	6.39764761431234	0.566347545233237	55.9837275984848	55.9850810637861	1.04662802639016	0.893860256970377
3	3.5507979	0.5507979	2.678580454308	0.995939415903532	4.10614561528916	0.112371309372001	6.28849044451771	0.560478285819079	55.7353365189605	55.7366608617642	1.07532174118277	0.891860265601516
3	3.5507979	0.5507979	0.228924868121872	2.33975637672034	2.19204615720447	0.113165912117497	6.40240362873488	0.566414771750573	55.9854171793607	55.986772576065	1.04630318587343	0.893873453906187
3	3.5507979	0.5507979	2.62028820837545	2.9056219884628	4.3459727010696	0.113105242470332	6.39781420015831	0.56634784083682	55.9836184524234	55.9849718921871	1.04664311918426	0.893852987447529
3	3.5507979	0.5507979	0.0311224616570999	1.50562377644622	2.47886646567073	0.113176806912746	6.40372631869105	0.566491843980876	55.9878006289037	55.9891570003564	1.04573086257961	0.893913332793832
