img	seed	mean	std	alpha_1	alpha_0	SSIM	PSNR
1	1.417022	0.44064899	0.83404401	2.08511002351287	3.60162246721079	0.228278345520343	7.94170357795166
1	1.417022	0.44064899	0.83404401	2.17997451071002	0.129631159139457	0.159895313284656	8.26213234147833
1	1.417022	0.44064899	0.83404401	2.75398951287288	3.54073911309052	0.228464623011931	7.93803911650242
1	1.417022	0.44064899	0.83404401	4.83514919506838	2.73616124587861	0.228440522983183	7.93940482579231
1	1.417022	0.44064899	0.83404401	1.1099658554487	4.35366153088688	0.228172511506274	7.9493419859679
1	1.417022	0.44064899	0.83404401	4.46430075718001	1.65989902650589	0.227741693176967	7.96325251055222
1	1.417022	0.44064899	0.83404401	0.381541446869786	3.89959396120057	0.229740779594861	8.20925909556634
1	1.417022	0.44064899	0.83404401	4.36714701395908	4.84270331410466	0.228569126825039	7.93691816910159
1	1.417022	0.44064899	0.83404401	0.0518707694284998	2.50937296074369	0.0879114278089847	6.52875824384942
1	1.417022	0.44064899	0.83404401	3.85660321633373	0.103759746797008	0.144972956806418	8.12235112016152
1	1.417022	0.44064899	0.83404401	0.901348444383846	0.0973762074381229	0.140814818963962	8.06847146380636
1	1.417022	0.44064899	0.83404401	0.770814211898362	3.70024848257702	0.228133942195467	7.95285138646844
1	1.417022	0.44064899	0.83404401	3.8885120528691	1.18770610017456	0.227125250142623	8.00077406594456
1	1.417022	0.44064899	0.83404401	2.56971671886345	3.86582526039648	0.22842715210285	7.93930735298916
1	1.417022	0.44064899	0.83404401	4.24408848634289	0.894479624604992	0.226850262178738	8.04583779419276
1	1.417022	0.44064899	0.83404401	1.11645539576769	2.61581670700338	0.228105321883925	7.94946071769058
1	1.417022	0.44064899	0.83404401	1.47332501343555	2.65293377802647	0.228152053384507	7.94637399940009
1	1.417022	0.44064899	0.83404401	3.25187120869796	2.52726686867421	0.228365727202166	7.94095807278788
1	1.417022	0.44064899	0.83404401	0.487668008747258	3.80624858337428	0.231243207397466	8.08352187050313
1	1.417022	0.44064899	0.83404401	2.94065400538637	4.48856863954709	0.22852691678394	7.93767701445831
1	1.417022	0.44064899	0.83404401	0.243624404045636	1.44554829894908	0.14570198992746	8.23489413210654
1	1.417022	0.44064899	0.83404401	1.04230268679421	2.40840530881683	0.228078609563004	7.9512950613784
1	1.417022	0.44064899	0.83404401	2.58648941923295	4.73481301907407	0.228459037624161	7.93975883456493
1	1.417022	0.44064899	0.83404401	4.80008651667959	3.49756024974788	0.228524503439949	7.93622076371466
1	1.417022	0.44064899	0.83404401	4.35062068313606	2.9113846433628	0.228457794742202	7.93789167107779
1	1.417022	0.44064899	0.83404401	1.53967476312485	2.5969573965265	0.228158594843173	7.94596541985375
1	1.417022	0.44064899	0.83404401	2.12860705259448	4.07291870247276	0.228306288667056	7.94170057936582
1	1.417022	0.44064899	0.83404401	3.6450687114456	2.80619801163821	0.228452825826794	7.93854233915936
1	1.417022	0.44064899	0.83404401	4.31879992785041	1.42452982613813	0.227412827015323	7.97794298847033
1	1.417022	0.44064899	0.83404401	3.22071768034168	1.90374244817558	0.228016421329296	7.95322411660348
1	1.417022	0.44064899	0.83404401	1.43026910830258	4.790527832595	0.228229107175364	7.94683793817299
1	1.417022	0.44064899	0.83404401	4.2944463364652	1.8635557748764	0.227980714560637	7.95463170465094
1	1.417022	0.44064899	0.83404401	1.24255063718865	2.24987710525398	0.228062210624952	7.95084121504754
1	1.417022	0.44064899	0.83404401	0.192808404407048	3.90050230262337	0.123295957568975	8.05404930755495
1	1.417022	0.44064899	0.83404401	2.29027474112045	1.54174803482456	0.22757376895663	7.96983195301218
1	1.417022	0.44064899	0.83404401	3.64253595797863	3.00807106185107	0.228478195198343	7.9372125590161
