img	seed	mean	std	alpha_1	alpha_0	SSIM	PSNR
1	1.417022	0.44064899	0.83404401	0.417022004702574	0.720324493442158	0.230142020091706	8.180073009555
1	1.417022	0.44064899	0.83404401	0.435994902142004	0.0259262318278913	0.0840728528573183	6.25966839856203
1	1.417022	0.44064899	0.83404401	0.550797902574576	0.708147822618105	0.22695806232403	8.10982696799076
1	1.417022	0.44064899	0.83404401	0.967029839013677	0.547232249175722	0.229004087743821	8.14898920507434
1	1.417022	0.44064899	0.83404401	0.221993171089739	0.870732306177376	0.134620745470733	8.19234160679861
1	1.417022	0.44064899	0.83404401	0.892860151436002	0.331979805301177	0.235448104940722	8.280567343315
1	1.417022	0.44064899	0.83404401	0.0763082893739572	0.779918792240115	0.0902302308582027	6.73729051604307
1	1.417022	0.44064899	0.83404401	0.873429402791816	0.968540662820932	0.226837947741124	8.0823481490766
1	1.417022	0.44064899	0.83404401	0.0103741538857	0.501874592148739	0.0750517313169275	5.56563963325671
1	1.417022	0.44064899	0.83404401	0.771320643266746	0.0207519493594015	0.0797509340241041	6.01589174047284
1	1.417022	0.44064899	0.83404401	0.180269688876769	0.0194752414876246	0.0794739384115491	5.98238497134
1	1.417022	0.44064899	0.83404401	0.154162842379672	0.740049696515405	0.109765931771061	7.75495794853111
1	1.417022	0.44064899	0.83404401	0.77770241057382	0.237541220034912	0.212568467081009	8.35467458283081
1	1.417022	0.44064899	0.83404401	0.51394334377269	0.773165052079297	0.227237050868965	8.10979937494009
1	1.417022	0.44064899	0.83404401	0.848817697268579	0.178895924920998	0.186155016737644	8.3690978532994
1	1.417022	0.44064899	0.83404401	0.223291079153539	0.523163341400676	0.135188278264533	8.19669686317237
1	1.417022	0.44064899	0.83404401	0.29466500268711	0.530586755605294	0.176725910217896	8.29544432881897
1	1.417022	0.44064899	0.83404401	0.650374241739592	0.505453373734843	0.230778283267029	8.16695958247296
1	1.417022	0.44064899	0.83404401	0.0975336017494516	0.761249716674856	0.095232433970542	7.06255118066964
1	1.417022	0.44064899	0.83404401	0.588130801077274	0.897713727909418	0.226892556434682	8.08903155329825
1	1.417022	0.44064899	0.83404401	0.0487248808091273	0.289109659789817	0.083882399234284	6.27315291920867
1	1.417022	0.44064899	0.83404401	0.208460537358843	0.481681061763366	0.128757967507056	8.13868950684293
1	1.417022	0.44064899	0.83404401	0.517297883846589	0.946962603814814	0.227310105066721	8.10441376619457
1	1.417022	0.44064899	0.83404401	0.960017303335919	0.699512049949576	0.226636582185338	8.10702849489195
1	1.417022	0.44064899	0.83404401	0.870124136627212	0.58227692867256	0.228081598047935	8.13687999555992
