img	seed	std	alpha_1	alpha_0	lambda	SSIM	PSNR	MS_SSIM	PSNR_HVS	PSNR_HMA	VIF	FSIM
1	1.417022	0.417022	0.417022004702574	0.720324493442158	1.14374817344887e-05	0.265866984409389	12.4035905093376	0.330558385346642	55.7224623533497	64.5041774579085	0.00140673554530998	0.770037643722832
1	1.417022	0.417022	0.435994902142004	0.0259262318278913	0.0549662477878709	0.434044120782893	16.6354287394383	0.834514074740727	61.6224478843321	63.9157909834801	0.12887694576217	0.960802454525672
1	1.417022	0.417022	0.550797902574576	0.708147822618105	0.0290904738912944	0.265866984409389	12.4035905093376	0.330558385346642	55.7224623533497	64.5041774579085	0.00140673554530998	0.770037643722832
1	1.417022	0.417022	0.967029839013677	0.547232249175722	0.0972684359964884	0.283447738431313	12.8126088043168	0.392961725111016	56.0838786782734	62.9653182052279	0.00313269131811872	0.824129918355365
1	1.417022	0.417022	0.221993171089739	0.870732306177376	0.0206719155339426	0.267571725537616	12.4551582899327	0.339386076482949	55.7573139594547	64.4758656495051	0.00147875863474668	0.781372058323331
1	1.417022	0.417022	0.892860151436002	0.331979805301177	0.0821229123057832	0.285059838541286	12.9785309556682	0.416751030272719	56.263373813105	63.0903274148166	0.00424715609811202	0.864314751066468
1	1.417022	0.417022	0.0763082893739572	0.779918792240115	0.0438409231440893	0.27701187972347	12.6265302328197	0.365627228443351	55.8956513234262	63.9129434435854	0.00235121646502219	0.805319387618423
1	1.417022	0.417022	0.873429402791816	0.968540662820932	0.086919454021392	0.269985853207201	12.4937561758502	0.34647111181258	55.7934530743142	63.9262795708631	0.0016833051894834	0.780458693952788
1	1.417022	0.417022	0.0103741538857	0.501874592148739	0.0495773293134146	0.298675164009236	15.6422148701415	0.755637258453618	61.9178363724539	62.0913276924748	0.572380853059918	0.950355072565578
1	1.417022	0.417022	0.771320643266746	0.0207519493594015	0.0633648234926275	0.438600529754678	17.2688130325065	0.837396562973032	62.6892373489992	63.8290583235801	0.203683897494966	0.970778584534103
1	1.417022	0.417022	0.180269688876769	0.0194752414876246	0.0463218526498345	0.440584699012657	16.8641986401077	0.838873084571849	62.0250356570768	63.9502774371165	0.149993448256181	0.964715760198923
1	1.417022	0.417022	0.154162842379672	0.740049696515405	0.0263315015185135	0.272605365859275	12.5213806248384	0.348203409406668	55.8020163943409	64.2172911029505	0.00165634405722782	0.791637373368853
1	1.417022	0.417022	0.77770241057382	0.237541220034912	0.0824278532661369	0.290997748256271	13.3185003699227	0.474813337276373	56.6307587651464	63.0158873976951	0.00714243601349548	0.888531582653291
1	1.417022	0.417022	0.51394334377269	0.773165052079297	0.0870427685724813	0.278193815337274	12.6102796217099	0.359746885050251	55.892030944374	64.0588076897384	0.00201092294812797	0.818887042317805
1	1.417022	0.417022	0.848817697268579	0.178895924920998	0.00543632143064314	0.265866984409389	12.4035905093376	0.330558385346642	55.7224623533497	64.5041774579085	0.00140673554530998	0.770037643722832
1	1.417022	0.417022	0.223291079153539	0.523163341400676	0.0550701456581181	0.277847813415498	12.6318524099998	0.363574658618965	55.9050380260691	63.3863742003142	0.00218240605765603	0.814159706337177
1	1.417022	0.417022	0.29466500268711	0.530586755605294	0.0191520786947495	0.265864663504693	12.403735128131	0.330618211758919	55.7225358656781	64.5043171554489	0.00140692660980477	0.770066924618416
1	1.417022	0.417022	0.650374241739592	0.505453373734843	0.0878601470921552	0.283754700888981	12.7445607776556	0.381758600440201	56.0299294500576	63.3072720177646	0.00283366388314929	0.835794120458595
1	1.417022	0.417022	0.0975336017494516	0.761249716674856	0.0246937973166327	0.273872035225759	12.5357523891314	0.35180628404441	55.808906234616	64.0481237808212	0.00174237704551496	0.79356894166318
1	1.417022	0.417022	0.588130801077274	0.897713727909418	0.0891530729474708	0.274798475606318	12.5509457645656	0.352577623833144	55.8363960850509	63.7438561517064	0.00184951840722612	0.793693950299365
1	1.417022	0.417022	0.0487248808091273	0.289109659789817	0.072096634683123	0.430217124092161	15.735304895589	0.729314521416491	59.5588929032666	64.8115905208431	0.093383676267156	0.957894033621456
