img	seed	mean	std	alpha_1	alpha_0	SSIM	PSNR	MS_SSIM	PSNR_HVS	PSNR_HMA	FSIM
1	1.417022	0.44064899	0.83404401	2.08511002351287	3.60162246721079	0.228278345520343	7.94170357795166	0.281822688687614	51.832478261194	68.4119565198876	0.816745878604681
1	1.417022	0.44064899	0.83404401	2.17997451071002	0.129631159139457	0.159895313284656	8.26213234147833	0.440688847113288	52.3265887152034	61.8413535698203	0.911766121283936
1	1.417022	0.44064899	0.83404401	2.75398951287288	3.54073911309052	0.228464623011931	7.93803911650242	0.279330536568867	51.8316685267927	68.4173139985315	0.81464285563392
1	1.417022	0.44064899	0.83404401	4.83514919506838	2.73616124587861	0.228440522983183	7.93940482579231	0.279956254899776	51.8330283261912	68.4116826449086	0.816198123339052
1	1.417022	0.44064899	0.83404401	1.1099658554487	4.35366153088688	0.228172511506274	7.9493419859679	0.286883491934209	51.8319894786282	68.3871717969157	0.822141813366335
1	1.417022	0.44064899	0.83404401	4.46430075718001	1.65989902650589	0.227741693176967	7.96325251055222	0.293409107869727	51.8551416590758	68.3565295922004	0.836875825720839
1	1.417022	0.44064899	0.83404401	0.381541446869786	3.89959396120057	0.229740779594861	8.20925909556634	0.408469635418737	52.1861972152993	68.0128063323734	0.9420140409062
1	1.417022	0.44064899	0.83404401	4.36714701395908	4.84270331410466	0.228569126825039	7.93691816910159	0.278145054055366	51.8317305881197	68.4016897951655	0.814578547552068
1	1.417022	0.44064899	0.83404401	0.0518707694284998	2.50937296074369	0.0879114278089847	6.52875824384942	0.382197498177456	51.9009652537826	58.6138308850533	0.857191216665925
1	1.417022	0.44064899	0.83404401	3.85660321633373	0.103759746797008	0.144972956806418	8.12235112016152	0.428368386668979	52.2339567602505	60.7771604822846	0.895870034797051
2	2.4359949	-0.94814754	0.8719898	2.08511002351287	3.60162246721079	0.168234285890364	10.4759263501983	0.200831450701966	53.9046615165262	74.3605441208042	0.78661760891878
2	2.4359949	-0.94814754	0.8719898	2.17997451071002	0.129631159139457	0.158141019772205	11.1198540385148	0.396779548652556	54.735034073197	68.5167891249434	0.950098449956432
2	2.4359949	-0.94814754	0.8719898	2.75398951287288	3.54073911309052	0.168250578589181	10.4760229107018	0.200860694738367	53.9047458608283	74.3591535101825	0.787598263279179
2	2.4359949	-0.94814754	0.8719898	4.83514919506838	2.73616124587861	0.168206482961824	10.4755885732488	0.200756880818329	53.9043520850657	74.3711952030234	0.788462157798554
2	2.4359949	-0.94814754	0.8719898	1.1099658554487	4.35366153088688	0.168165158939474	10.4805425197662	0.203207242817773	53.9091295321955	74.3794529789636	0.786693725112829
2	2.4359949	-0.94814754	0.8719898	4.46430075718001	1.65989902650589	0.168162551396817	10.4772046078013	0.201561805304641	53.9062793055596	74.3883198333292	0.786874181069646
2	2.4359949	-0.94814754	0.8719898	0.381541446869786	3.89959396120057	0.169207311306281	10.5724694156299	0.232173578430968	54.0128531149098	74.3496688087873	0.85270975221965
2	2.4359949	-0.94814754	0.8719898	4.36714701395908	4.84270331410466	0.168150804849996	10.4747881978408	0.200469993794796	53.9035652358811	74.3710038248319	0.788686103187658
2	2.4359949	-0.94814754	0.8719898	0.0518707694284998	2.50937296074369	0.072668135326704	9.70110671725335	0.331371072343634	54.5124449294723	63.4945503692766	0.86775204594291
2	2.4359949	-0.94814754	0.8719898	3.85660321633373	0.103759746797008	0.142164741343591	11.1136023394012	0.39068474172383	54.7603344831326	66.9963878734098	0.933914126755309
3	3.5507979	0.41629565	1.10159581	2.08511002351287	3.60162246721079	0.233030384731174	8.39371297233635	0.278888576706434	52.2634141945982	68.9906117234858	0.828783945486584
3	3.5507979	0.41629565	1.10159581	2.17997451071002	0.129631159139457	0.158139348328241	8.6684952371424	0.409328283708889	52.7666417773547	61.7852917646562	0.912633994450803
3	3.5507979	0.41629565	1.10159581	2.75398951287288	3.54073911309052	0.233221682451219	8.38872561091625	0.275674892282348	52.2632472460119	68.9827203888629	0.824299783983523
