img	seed	std	alpha_1	alpha_0	SSIM	PSNR	MS_SSIM	PSNR_HVS	PSNR_HMA	VIF	FSIM
1	1.417022	0.417022	0.417022004702574	0.720324493442158	0.497729087345607	18.1231043030644	0.856385856790196	63.0667150977276	66.0215894513065	0.258078520126872	0.971950292388337
1	1.417022	0.417022	0.435994902142004	0.0259262318278913	0.209921045570665	11.3364058427427	0.668444687743333	58.3652813269455	58.365430741885	0.858441478574445	0.916331326054653
1	1.417022	0.417022	0.550797902574576	0.708147822618105	0.443581415162618	16.7441690697525	0.823843847874915	61.1163469683646	64.659396297663	0.131901039368866	0.951795404674771
1	1.417022	0.417022	0.967029839013677	0.547232249175722	0.426438483317979	16.4023215385217	0.831540878885167	61.124390265378	63.9638228006244	0.106559341698044	0.957470700921085
1	1.417022	0.417022	0.221993171089739	0.870732306177376	0.312735621745637	16.1096162925776	0.765032153530188	62.2506009884292	62.4913391010242	0.545612239343643	0.953621906604304
1	1.417022	0.417022	0.892860151436002	0.331979805301177	0.442324085294823	17.3959575361941	0.840675597084584	62.8289090936132	63.9842774105309	0.210731437920871	0.971775053443819
1	1.417022	0.417022	0.0763082893739572	0.779918792240115	0.194438344698179	10.4402998293843	0.670432370145328	58.81042728236	58.8106081581078	0.898548886809094	0.917807700894419
1	1.417022	0.417022	0.873429402791816	0.968540662820932	0.35424918908871	15.0280006139564	0.728930512008163	58.8646722723831	63.327353314284	0.0421472637232886	0.927026666599177
1	1.417022	0.417022	0.0103741538857	0.501874592148739	0.156765095349518	8.04634446060092	0.636901133573963	57.7277542502452	57.7278931971544	1.08477718351651	0.906117119398826
1	1.417022	0.417022	0.771320643266746	0.0207519493594015	0.205978204033145	11.1012809396372	0.665359344040114	58.2703861414147	58.2705329507062	0.876224783855764	0.914992402892569
2	2.4359949	0.4359949	0.417022004702574	0.720324493442158	0.504376285352663	17.9393818611731	0.853258566638569	62.7913311054457	65.6899364661176	0.240080023454427	0.972220160733959
2	2.4359949	0.4359949	0.435994902142004	0.0259262318278913	0.195699105617671	10.9451465366434	0.661155106754883	58.326422317124	58.3359377768932	0.837336467807993	0.91151182739516
2	2.4359949	0.4359949	0.550797902574576	0.708147822618105	0.440125265037375	16.5222733992143	0.808735245590829	60.7342543416873	64.2308785860667	0.119524790269595	0.942869425149886
2	2.4359949	0.4359949	0.967029839013677	0.547232249175722	0.412896403080342	16.1153727637623	0.809128680217767	60.6157667715188	63.5331935652621	0.0935416440725101	0.948138010131611
2	2.4359949	0.4359949	0.221993171089739	0.870732306177376	0.291556195079388	15.4452108657383	0.755362739560416	61.9801984740358	62.2725534615498	0.527801474336946	0.95215404607995
2	2.4359949	0.4359949	0.892860151436002	0.331979805301177	0.434202992093089	17.2087525038287	0.83003175057241	62.4916861757049	63.8918612984843	0.190864470484839	0.969159981332897
2	2.4359949	0.4359949	0.0763082893739572	0.779918792240115	0.177283270476568	9.87103112894	0.661542154319743	58.6817962318061	58.6981057191338	0.890263496095513	0.912507149269225
2	2.4359949	0.4359949	0.873429402791816	0.968540662820932	0.356864670329415	14.8449934434046	0.714800336941218	58.5841471545378	62.9270704051314	0.0385034236744757	0.918907901157684
2	2.4359949	0.4359949	0.0103741538857	0.501874592148739	0.142897027966461	7.57225466478577	0.629242922412643	57.6503786575483	57.6588088244194	1.08084841676251	0.900877920972464
2	2.4359949	0.4359949	0.771320643266746	0.0207519493594015	0.191961730069266	10.7139347493321	0.658148376112055	58.2296946992578	58.2390036064456	0.855016237726024	0.910249986146045
3	3.5507979	0.5507979	0.417022004702574	0.720324493442158	0.376883951257857	16.6054164122401	0.773750474500951	61.8017210964041	63.0792026594922	0.305284113091583	0.971517021305792
3	3.5507979	0.5507979	0.435994902142004	0.0259262318278913	0.147553126979002	8.7666500758633	0.583455310554276	56.1816681485725	56.1830831323745	0.911643726399489	0.899733968161671
3	3.5507979	0.5507979	0.550797902574576	0.708147822618105	0.427038384563203	16.6449663665389	0.798777183655039	61.1804343230874	63.6341992583921	0.177746976947348	0.958723281824752
3	3.5507979	0.5507979	0.967029839013677	0.547232249175722	0.405607018397658	16.161242223341	0.794981266202141	60.8931105114883	62.8959965808721	0.126192029726677	0.959933155085096
3	3.5507979	0.5507979	0.221993171089739	0.870732306177376	0.194617690118444	12.0068638190804	0.652450871771837	58.8106977249788	58.8572419994377	0.624957105532314	0.927602391222972
3	3.5507979	0.5507979	0.892860151436002	0.331979805301177	0.367247685725254	16.4201828796798	0.762521366287838	61.4741155930061	61.9566845184052	0.255872172333696	0.968917613834291
3	3.5507979	0.5507979	0.0763082893739572	0.779918792240115	0.12582437042135	7.38126416846663	0.57901818885077	56.3705068084971	56.3720113135476	0.964809931798418	0.898498483406604
3	3.5507979	0.5507979	0.873429402791816	0.968540662820932	0.353399599072565	15.0308012809647	0.726546526159118	58.8679857857181	62.6689737207801	0.0513053316748555	0.928635786702329
3	3.5507979	0.5507979	0.0103741538857	0.501874592148739	0.102796722966869	5.5402474205528	0.551930815314087	55.5840929029586	55.5860211269874	1.12697075295121	0.88919908841187
3	3.5507979	0.5507979	0.771320643266746	0.0207519493594015	0.144828897306412	8.57680503198023	0.580909910890948	56.1087030217284	56.1100924764557	0.927226399986896	0.898746486903996
4	4.96702984	0.96702984	0.417022004702574	0.720324493442158	0.113165612119813	7.90853950526337	0.484501022452911	54.2275673524161	54.3600367191753	0.614742640518085	0.890190978981498
