img	seed	std	alpha_1	alpha_0	SSIM	PSNR	MS_SSIM	PSNR_HVS	PSNR_HMA	VIF	FSIM
1	1.417022	0.417022	0.417022004702574	0.720324493442158	0.504602341424164	18.1458881164623	0.857230242913143	63.0992389732117	66.0869511672987	0.258868075384538	0.972396004178564
1	1.417022	0.417022	0.435994902142004	0.0259262318278913	0.18188119116606	9.6006950587759	0.652339313971787	58.0249928855074	58.0251353894469	0.978078588640982	0.910927727590052
1	1.417022	0.417022	0.550797902574576	0.708147822618105	0.440157612878195	16.6980369103576	0.817066639798743	61.0041828753032	64.6205930306026	0.129725490237585	0.949416688230714
1	1.417022	0.417022	0.967029839013677	0.547232249175722	0.420527316979231	16.3090616280804	0.826105886118071	60.9682129671646	63.8796536617666	0.101402078791537	0.956156668296092
1	1.417022	0.417022	0.221993171089739	0.870732306177376	0.313538517891622	16.161835224647	0.765850762273967	62.261083501955	62.5039105540741	0.54012438447932	0.953718755157732
1	1.417022	0.417022	0.892860151436002	0.331979805301177	0.440963565092264	17.2886722746064	0.840085012237483	62.6682573786362	63.9276823153826	0.198381675916544	0.97090421040449
1	1.417022	0.417022	0.0763082893739572	0.779918792240115	0.200670650784567	10.8213291001204	0.674423814295785	58.9158067754687	58.9159946793948	0.872948707154292	0.919248526743795
1	1.417022	0.417022	0.873429402791816	0.968540662820932	0.350818152883193	14.943251777674	0.720897352734963	58.7397672069549	63.2099710542674	0.0395060439941463	0.925311124821907
1	1.417022	0.417022	0.0103741538857	0.501874592148739	0.165338296324055	8.59786905747048	0.642089342665594	57.8328699979775	57.8330196476596	1.04506040440203	0.907587612313668
1	1.417022	0.417022	0.771320643266746	0.0207519493594015	0.17522700585911	9.19080084863725	0.647913954618024	57.9233556604769	57.9234966376635	1.00697546015267	0.909371165126828
1	1.417022	0.417022	0.180269688876769	0.0194752414876246	0.173593664418294	9.08963086121206	0.646834748362084	57.8993427446638	57.8994833636158	1.01411973135515	0.90904443421711
1	1.417022	0.417022	0.154162842379672	0.740049696515405	0.252823062737971	13.7199739542989	0.71959768221259	60.5803471709075	60.6140430072107	0.682310010217707	0.937347182304263
1	1.417022	0.417022	0.77770241057382	0.237541220034912	0.414843818247937	17.5440412177106	0.818793142119467	62.8948548890802	63.2900221211296	0.292348892346059	0.971939256776447
1	1.417022	0.417022	0.51394334377269	0.773165052079297	0.463671915864017	17.0962410135668	0.824246043665049	61.46095025415	65.2109326010228	0.163628573568112	0.951634116538963
1	1.417022	0.417022	0.848817697268579	0.178895924920998	0.370407101172076	17.2032120729877	0.787187671591907	62.2262284294199	62.2707907919877	0.388673390122895	0.964671226351257
1	1.417022	0.417022	0.223291079153539	0.523163341400676	0.315119357872092	16.2106229907916	0.766890892890298	62.2952770383475	62.5463943677136	0.537180738715021	0.954080843391771
1	1.417022	0.417022	0.29466500268711	0.530586755605294	0.406617381962189	17.9825577845223	0.82029687136508	63.6381600058584	64.6091391838718	0.415575871229759	0.968792832306509
1	1.417022	0.417022	0.650374241739592	0.505453373734843	0.431049122628011	16.5672410196687	0.834243748888736	61.3571642356262	64.003004505027	0.118739031567848	0.959605891078016
1	1.417022	0.417022	0.0975336017494516	0.761249716674856	0.213587730764424	11.5919980045709	0.685972179623796	59.3261084984169	59.3263174748311	0.818824961291014	0.923761182823032
1	1.417022	0.417022	0.588130801077274	0.897713727909418	0.42437207474946	16.3448807691761	0.786511039949474	60.4006875733421	64.6152818908802	0.11484170730502	0.941487793774796
1	1.417022	0.417022	0.0487248808091273	0.289109659789817	0.185433424489389	9.87632364695112	0.660622863158094	58.4321482785946	58.4323147362301	0.943214894939999	0.914097037906562
1	1.417022	0.417022	0.208460537358843	0.481681061763366	0.299873247358843	15.7152448110897	0.756193766657254	61.932579853819	62.1087549522216	0.565736952629198	0.950538087249839
1	1.417022	0.417022	0.517297883846589	0.946962603814814	0.47735768323072	17.1470386012763	0.820872393437703	61.492545020043	65.5593899881653	0.171156092649256	0.954017445468938
1	1.417022	0.417022	0.960017303335919	0.699512049949576	0.390846271688912	15.7144106476739	0.791606309075875	59.9613570420773	63.5975767680595	0.0687585075285237	0.944089766527796
1	1.417022	0.417022	0.870124136627212	0.58227692867256	0.414036557789726	16.165984011457	0.819260474797443	60.7163159446068	63.819895362411	0.0924568722240215	0.953368867898113
1	1.417022	0.417022	0.307934952624971	0.519391479305301	0.42414492936059	18.1612952815652	0.828955700078336	63.7493525659745	64.9182536600433	0.394606972598439	0.971212585840126
1	1.417022	0.417022	0.425721410518896	0.814583740494553	0.511918480689891	18.1102694462195	0.85763883985244	63.0307982475293	66.2081053640288	0.253471614010511	0.974126093519203
1	1.417022	0.417022	0.729013742289119	0.561239602327641	0.419631836895935	16.2859839755984	0.824137327569244	60.8989556254469	63.8844647529216	0.0996676931176699	0.955176653490173
1	1.417022	0.417022	0.863759985570083	0.284905965227627	0.432940263036845	17.4734140880411	0.833117817812462	62.9127382564316	63.7232538353501	0.238315428995522	0.972743168608551
1	1.417022	0.417022	0.644143536068335	0.380748489635117	0.442601719233612	17.0875926104562	0.842496148288104	62.3172242718626	64.0226904637604	0.168933329021657	0.968192097326079
1	1.417022	0.417022	0.286053821660516	0.958105566519	0.39413970751865	17.8334731667816	0.814233490552744	63.5390321017402	64.3888715520107	0.430401157074893	0.967071062640324
1	1.417022	0.417022	0.85888926729304	0.37271115497528	0.441922642017208	17.1026696504675	0.842126307978473	62.3681994696899	64.0050376592273	0.17179830830493	0.968615590885491
